"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2754,213,"ESP","Spain",1,"Andalucía","","Andalousie|Andaluc¡a|Andalusien|Andaluzia","Comunidad Autónoma","Autonomous Community"
2755,213,"ESP","Spain",2,"Aragón","","Aragão|Aragó|Aragón|Aragona|Aragonien","Comunidad Autónoma","Autonomous Community"
2756,213,"ESP","Spain",3,"Cantabria","","Cantàbria|Cantábria|Cantabrie|Kantabrien","Comunidad Autónoma","Autonomous Community"
2757,213,"ESP","Spain",4,"Castilla-La Mancha","","Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha","Comunidad Autónoma","Autonomous Community"
2758,213,"ESP","Spain",5,"Castilla y León","","Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León","Comunidad Autónoma","Autonomous Community"
2759,213,"ESP","Spain",6,"Cataluña","","Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien","Comunidad Autónoma","Autonomous Community"
2760,213,"ESP","Spain",7,"Ceuta y Melilla","","","Ciudades Autónomas","Autonomous City"
2761,213,"ESP","Spain",8,"Comunidad de Madrid","","Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid","Comunidad Autónoma","Autonomous Community"
2762,213,"ESP","Spain",9,"Comunidad Foral de Navarra","","Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra","Comunidad Autónoma","Autonomous Community"
2763,213,"ESP","Spain",10,"Comunidad Valenciana","","Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana","Comunidad Autónoma","Autonomous Community"
2764,213,"ESP","Spain",11,"Extremadura","","Estremadura|Estrémadure","Comunidad Autónoma","Autonomous Community"
2765,213,"ESP","Spain",12,"Galicia","","Galice|Gal¡cia|Galicien|Galiza|Galizia","Comunidad Autónoma","Autonomous Community"
2766,213,"ESP","Spain",13,"Islas Baleares","","Balearic Islands|Balearen|Balearene|Baleares|Islas Baleares|Baleari|Îles Baléares|Ilhas Baleares|Illes Balears","Comunidad Autónoma","Autonomous Community"
2767,213,"ESP","Spain",14,"Islas Canarias","","Canarias|Canary Islands|Canárias|Ilhas Canárias|Canarie|Îles Canaries|Illes Canàries|Kanariøyene|Kanarische Inseln","Comunidad Autónoma","Autonomous Community"
2768,213,"ESP","Spain",15,"La Rioja","","Rioja","Comunidad Autónoma","Autonomous Community"
2769,213,"ESP","Spain",16,"País Vasco","","Basque Country|Baskenland|Basque Autonomous Community|Basque Provinces|CAV|Comunidad Autonoma Vasca","Comunidad Autónoma","Autonomous Community"
2770,213,"ESP","Spain",17,"Principado de Asturias","","Astúrias|Asturie|Asturien|Asturies|Astúries|Asturias","Comunidad Autónoma","Autonomous Community"
2771,213,"ESP","Spain",18,"Región de Murcia","","Murcia|Região de Múrcia|Regió de Múrcia|Région de Murcie|Region of Murcia","Comunidad Autónoma","Autonomous Community"
