"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
33425,213,"ESP","Spain",1,"Andalucía",1,"Almería","","","Provincia","Province"
33426,213,"ESP","Spain",1,"Andalucía",2,"Cádiz","","","Provincia","Province"
33427,213,"ESP","Spain",1,"Andalucía",3,"Córdoba","","","Provincia","Province"
33428,213,"ESP","Spain",1,"Andalucía",4,"Granada","","","Provincia","Province"
33429,213,"ESP","Spain",1,"Andalucía",5,"Huelva","","","Provincia","Province"
33430,213,"ESP","Spain",1,"Andalucía",6,"Jaén","","","Provincia","Province"
33431,213,"ESP","Spain",1,"Andalucía",7,"Málaga","","","Provincia","Province"
33432,213,"ESP","Spain",1,"Andalucía",8,"Sevilla","","","Provincia","Province"
33433,213,"ESP","Spain",2,"Aragón",9,"Huesca","","","Provincia","Province"
33434,213,"ESP","Spain",2,"Aragón",10,"Teruel","","","Provincia","Province"
33435,213,"ESP","Spain",2,"Aragón",11,"Zaragoza","","","Provincia","Province"
33436,213,"ESP","Spain",3,"Cantabria",12,"Cantabria","","","Provincia","Province"
33437,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete","","","Provincia","Province"
33438,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real","","","Provincia","Province"
33439,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca","","","Provincia","Province"
33440,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara","","","Provincia","Province"
33441,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo","","","Provincia","Province"
33442,213,"ESP","Spain",5,"Castilla y León",18,"Ávila","","","Provincia","Province"
33443,213,"ESP","Spain",5,"Castilla y León",19,"Burgos","","","Provincia","Province"
33444,213,"ESP","Spain",5,"Castilla y León",20,"León","","","Provincia","Province"
33445,213,"ESP","Spain",5,"Castilla y León",21,"Palencia","","","Provincia","Province"
33446,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca","","","Provincia","Province"
33447,213,"ESP","Spain",5,"Castilla y León",23,"Segovia","","","Provincia","Province"
33448,213,"ESP","Spain",5,"Castilla y León",24,"Soria","","","Provincia","Province"
33449,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid","","","Provincia","Province"
33450,213,"ESP","Spain",5,"Castilla y León",26,"Zamora","","","Provincia","Province"
33451,213,"ESP","Spain",6,"Cataluña",27,"Barcelona","","","Provincia","Province"
33452,213,"ESP","Spain",6,"Cataluña",28,"Girona","","","Provincia","Province"
33453,213,"ESP","Spain",6,"Cataluña",29,"Lleida","","","Provincia","Province"
33454,213,"ESP","Spain",6,"Cataluña",30,"Tarragona","","","Provincia","Province"
33455,213,"ESP","Spain",7,"Ceuta y Melilla",31,"Ceuta","","","Ciudad Autónoma","Autonomous City"
33456,213,"ESP","Spain",7,"Ceuta y Melilla",32,"Melilla","","","Ciudad Autónoma","Autonomous City"
33457,213,"ESP","Spain",8,"Comunidad de Madrid",33,"Madrid","","","Provincia","Province"
33458,213,"ESP","Spain",9,"Comunidad Foral de Navarra",34,"Navarra","","","Provincia","Province"
33459,213,"ESP","Spain",10,"Comunidad Valenciana",35,"Alicante","","Alacant","Provincia","Province"
33460,213,"ESP","Spain",10,"Comunidad Valenciana",36,"Castellón","","Castelló","Provincia","Province"
33461,213,"ESP","Spain",10,"Comunidad Valenciana",37,"Valencia","","València","Provincia","Province"
33462,213,"ESP","Spain",11,"Extremadura",38,"Badajoz","","","Provincia","Province"
33463,213,"ESP","Spain",11,"Extremadura",39,"Cáceres","","","Provincia","Province"
33464,213,"ESP","Spain",12,"Galicia",40,"A Coruña","","La Coruña","Provincia","Province"
33465,213,"ESP","Spain",12,"Galicia",41,"Lugo","","","Provincia","Province"
33466,213,"ESP","Spain",12,"Galicia",42,"Ourense","","","Provincia","Province"
33467,213,"ESP","Spain",12,"Galicia",43,"Pontevedra","","","Provincia","Province"
33468,213,"ESP","Spain",13,"Islas Baleares",44,"Baleares","","","Provincia","Province"
33469,213,"ESP","Spain",14,"Islas Canarias",45,"Las Palmas","","","Provincia","Province"
33470,213,"ESP","Spain",15,"La Rioja",46,"La Rioja","","","Provincia","Province"
33471,213,"ESP","Spain",16,"País Vasco",47,"Álava","","Araba","Provincia","Province"
33472,213,"ESP","Spain",16,"País Vasco",48,"Guipúzcoa","","","Provincia","Province"
33473,213,"ESP","Spain",16,"País Vasco",49,"Vizcaya","","","Provincia","Province"
33474,213,"ESP","Spain",17,"Principado de Asturias",50,"Asturias","","","Provincia","Province"
33475,213,"ESP","Spain",18,"Región de Murcia",51,"Murcia","","","Provincia","Province"
