"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
101114,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)","","","Comarca","Comarca"
101115,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)","","","Comarca","Comarca"
101116,213,"ESP","Spain",1,"Andalucía",1,"Almería",3,"n.a. (17)","","","Comarca","Comarca"
101117,213,"ESP","Spain",1,"Andalucía",1,"Almería",4,"n.a. (18)","","","Comarca","Comarca"
101118,213,"ESP","Spain",1,"Andalucía",1,"Almería",5,"n.a. (19)","","","Comarca","Comarca"
101119,213,"ESP","Spain",1,"Andalucía",1,"Almería",6,"n.a. (20)","","","Comarca","Comarca"
101120,213,"ESP","Spain",1,"Andalucía",1,"Almería",7,"n.a. (21)","","","Comarca","Comarca"
101121,213,"ESP","Spain",1,"Andalucía",1,"Almería",8,"n.a. (22)","","","Comarca","Comarca"
101122,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",9,"Bahía de Cádiz","","","Comarca","Comarca"
101123,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",10,"Campiña de Jerez","","","Comarca","Comarca"
101124,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",11,"Campo de Gibraltar","","","Comarca","Comarca"
101125,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",12,"Costa Noroeste","","","Comarca","Comarca"
101126,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",13,"La Janda","","","Comarca","Comarca"
101127,213,"ESP","Spain",1,"Andalucía",2,"Cádiz",14,"Sierra de Cádiz","","","Comarca","Comarca"
101128,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",15,"Campiña Sur","","","Comarca","Comarca"
101129,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",16,"n.a. (86)","","","Comarca","Comarca"
101130,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",17,"n.a. (87)","","","Comarca","Comarca"
101131,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",18,"n.a. (88)","","","Comarca","Comarca"
101132,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",19,"n.a. (89)","","","Comarca","Comarca"
101133,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",20,"n.a. (90)","","","Comarca","Comarca"
101134,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",21,"n.a. (91)","","","Comarca","Comarca"
101135,213,"ESP","Spain",1,"Andalucía",3,"Córdoba",22,"n.a. (92)","","","Comarca","Comarca"
101136,213,"ESP","Spain",1,"Andalucía",4,"Granada",23,"n.a. (109)","","","Comarca","Comarca"
101137,213,"ESP","Spain",1,"Andalucía",4,"Granada",24,"n.a. (110)","","","Comarca","Comarca"
101138,213,"ESP","Spain",1,"Andalucía",4,"Granada",25,"n.a. (111)","","","Comarca","Comarca"
101139,213,"ESP","Spain",1,"Andalucía",4,"Granada",26,"n.a. (112)","","","Comarca","Comarca"
101140,213,"ESP","Spain",1,"Andalucía",4,"Granada",27,"n.a. (113)","","","Comarca","Comarca"
101141,213,"ESP","Spain",1,"Andalucía",4,"Granada",28,"n.a. (114)","","","Comarca","Comarca"
101142,213,"ESP","Spain",1,"Andalucía",4,"Granada",29,"n.a. (115)","","","Comarca","Comarca"
101143,213,"ESP","Spain",1,"Andalucía",4,"Granada",30,"n.a. (116)","","","Comarca","Comarca"
101144,213,"ESP","Spain",1,"Andalucía",4,"Granada",31,"n.a. (117)","","","Comarca","Comarca"
101145,213,"ESP","Spain",1,"Andalucía",4,"Granada",32,"n.a. (118)","","","Comarca","Comarca"
101146,213,"ESP","Spain",1,"Andalucía",5,"Huelva",33,"n.a. (133)","","","Comarca","Comarca"
101147,213,"ESP","Spain",1,"Andalucía",5,"Huelva",34,"n.a. (134)","","","Comarca","Comarca"
101148,213,"ESP","Spain",1,"Andalucía",5,"Huelva",35,"n.a. (135)","","","Comarca","Comarca"
101149,213,"ESP","Spain",1,"Andalucía",5,"Huelva",36,"n.a. (136)","","","Comarca","Comarca"
101150,213,"ESP","Spain",1,"Andalucía",5,"Huelva",37,"n.a. (137)","","","Comarca","Comarca"
101151,213,"ESP","Spain",1,"Andalucía",5,"Huelva",38,"n.a. (138)","","","Comarca","Comarca"
101152,213,"ESP","Spain",1,"Andalucía",6,"Jaén",39,"Alto Guadalquivir","","","Comarca","Comarca"
101153,213,"ESP","Spain",1,"Andalucía",6,"Jaén",40,"Área metropolitana de Jaén","","","Comarca","Comarca"
101154,213,"ESP","Spain",1,"Andalucía",6,"Jaén",41,"Campiña","","","Comarca","Comarca"
101155,213,"ESP","Spain",1,"Andalucía",6,"Jaén",42,"El Condado","","","Comarca","Comarca"
101156,213,"ESP","Spain",1,"Andalucía",6,"Jaén",43,"Lalomay Lasvillas","","","Comarca","Comarca"
101157,213,"ESP","Spain",1,"Andalucía",6,"Jaén",44,"Sierra De Segura","","","Comarca","Comarca"
101158,213,"ESP","Spain",1,"Andalucía",6,"Jaén",45,"Sierra Magina","","","Comarca","Comarca"
101159,213,"ESP","Spain",1,"Andalucía",6,"Jaén",46,"Sierra Norte","","","Comarca","Comarca"
101160,213,"ESP","Spain",1,"Andalucía",6,"Jaén",47,"Sierra Sur","","","Comarca","Comarca"
101161,213,"ESP","Spain",1,"Andalucía",7,"Málaga",48,"n.a. (181)","","","Comarca","Comarca"
101162,213,"ESP","Spain",1,"Andalucía",7,"Málaga",49,"n.a. (182)","","","Comarca","Comarca"
101163,213,"ESP","Spain",1,"Andalucía",7,"Málaga",50,"n.a. (183)","","","Comarca","Comarca"
101164,213,"ESP","Spain",1,"Andalucía",7,"Málaga",51,"n.a. (184)","","","Comarca","Comarca"
101165,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",52,"n.a. (226)","","","Comarca","Comarca"
101166,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",53,"n.a. (227)","","","Comarca","Comarca"
101167,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",54,"n.a. (228)","","","Comarca","Comarca"
101168,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",55,"n.a. (229)","","","Comarca","Comarca"
101169,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",56,"n.a. (230)","","","Comarca","Comarca"
101170,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",57,"n.a. (231)","","","Comarca","Comarca"
101171,213,"ESP","Spain",1,"Andalucía",8,"Sevilla",58,"n.a. (232)","","","Comarca","Comarca"
101172,213,"ESP","Spain",2,"Aragón",9,"Huesca",59,"n.a. (125)","","","Comarca","Comarca"
101173,213,"ESP","Spain",2,"Aragón",9,"Huesca",60,"n.a. (126)","","","Comarca","Comarca"
101174,213,"ESP","Spain",2,"Aragón",9,"Huesca",61,"n.a. (127)","","","Comarca","Comarca"
101175,213,"ESP","Spain",2,"Aragón",9,"Huesca",62,"n.a. (128)","","","Comarca","Comarca"
101176,213,"ESP","Spain",2,"Aragón",9,"Huesca",63,"n.a. (129)","","","Comarca","Comarca"
101177,213,"ESP","Spain",2,"Aragón",9,"Huesca",64,"n.a. (130)","","","Comarca","Comarca"
101178,213,"ESP","Spain",2,"Aragón",9,"Huesca",65,"n.a. (131)","","","Comarca","Comarca"
101179,213,"ESP","Spain",2,"Aragón",9,"Huesca",66,"n.a. (132)","","","Comarca","Comarca"
101180,213,"ESP","Spain",2,"Aragón",10,"Teruel",67,"n.a. (248)","","","Comarca","Comarca"
101181,213,"ESP","Spain",2,"Aragón",10,"Teruel",68,"n.a. (249)","","","Comarca","Comarca"
101182,213,"ESP","Spain",2,"Aragón",10,"Teruel",69,"n.a. (250)","","","Comarca","Comarca"
101183,213,"ESP","Spain",2,"Aragón",10,"Teruel",70,"n.a. (251)","","","Comarca","Comarca"
101184,213,"ESP","Spain",2,"Aragón",10,"Teruel",71,"n.a. (252)","","","Comarca","Comarca"
101185,213,"ESP","Spain",2,"Aragón",10,"Teruel",72,"n.a. (253)","","","Comarca","Comarca"
101186,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",73,"n.a. (274)","","","Comarca","Comarca"
101187,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",74,"n.a. (275)","","","Comarca","Comarca"
101188,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",75,"n.a. (276)","","","Comarca","Comarca"
101189,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",76,"n.a. (277)","","","Comarca","Comarca"
101190,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",77,"n.a. (278)","","","Comarca","Comarca"
101191,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",78,"n.a. (279)","","","Comarca","Comarca"
101192,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",79,"n.a. (280)","","","Comarca","Comarca"
101193,213,"ESP","Spain",2,"Aragón",11,"Zaragoza",80,"n.a. (281)","","","Comarca","Comarca"
101194,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",81,"Asón-Agüera","","","Comarca","Comarca"
101195,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",82,"Besaya","","","Comarca","Comarca"
101196,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",83,"Campoo-Los Valles","","","Comarca","Comarca"
101197,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",84,"Comarca de Santander","","","Comarca","Comarca"
101198,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",85,"Costa Occidental","","","Comarca","Comarca"
101199,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",86,"Costa Oriental","","","Comarca","Comarca"
101200,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",87,"Liébana","","","Comarca","Comarca"
101201,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",88,"n.a. (196)","","","Comarca","Comarca"
101202,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",89,"n.a. (222)","","","Comarca","Comarca"
101203,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",90,"Pas-Miera","","","Comarca","Comarca"
101204,213,"ESP","Spain",3,"Cantabria",12,"Cantabria",91,"Trasmiera","","","Comarca","Comarca"
101205,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",92,"n.a. (10)","","","Comarca","Comarca"
101206,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",93,"n.a. (11)","","","Comarca","Comarca"
101207,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",94,"n.a. (12)","","","Comarca","Comarca"
101208,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",95,"n.a. (13)","","","Comarca","Comarca"
101209,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",96,"n.a. (14)","","","Comarca","Comarca"
101210,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",97,"n.a. (8)","","","Comarca","Comarca"
101211,213,"ESP","Spain",4,"Castilla-La Mancha",13,"Albacete",98,"n.a. (9)","","","Comarca","Comarca"
101212,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",99,"n.a. (79)","","","Comarca","Comarca"
101213,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",100,"n.a. (80)","","","Comarca","Comarca"
101214,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",101,"n.a. (81)","","","Comarca","Comarca"
101215,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",102,"n.a. (82)","","","Comarca","Comarca"
101216,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",103,"n.a. (83)","","","Comarca","Comarca"
101217,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",104,"n.a. (84)","","","Comarca","Comarca"
101218,213,"ESP","Spain",4,"Castilla-La Mancha",14,"Ciudad Real",105,"n.a. (85)","","","Comarca","Comarca"
101219,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",106,"n.a. (93)","","","Comarca","Comarca"
101220,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",107,"n.a. (94)","","","Comarca","Comarca"
101221,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",108,"n.a. (95)","","","Comarca","Comarca"
101222,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",109,"n.a. (96)","","","Comarca","Comarca"
101223,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",110,"n.a. (97)","","","Comarca","Comarca"
101224,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",111,"n.a. (98)","","","Comarca","Comarca"
101225,213,"ESP","Spain",4,"Castilla-La Mancha",15,"Cuenca",112,"n.a. (99)","","","Comarca","Comarca"
101226,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",113,"n.a. (119)","","","Comarca","Comarca"
101227,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",114,"n.a. (120)","","","Comarca","Comarca"
101228,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",115,"n.a. (121)","","","Comarca","Comarca"
101229,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",116,"n.a. (122)","","","Comarca","Comarca"
101230,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",117,"n.a. (123)","","","Comarca","Comarca"
101231,213,"ESP","Spain",4,"Castilla-La Mancha",16,"Guadalajara",118,"n.a. (176)","","","Comarca","Comarca"
101232,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",119,"n.a. (254)","","","Comarca","Comarca"
101233,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",120,"n.a. (255)","","","Comarca","Comarca"
101234,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",121,"n.a. (256)","","","Comarca","Comarca"
101235,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",122,"n.a. (257)","","","Comarca","Comarca"
101236,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",123,"n.a. (258)","","","Comarca","Comarca"
101237,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",124,"n.a. (259)","","","Comarca","Comarca"
101238,213,"ESP","Spain",4,"Castilla-La Mancha",17,"Toledo",125,"n.a. (260)","","","Comarca","Comarca"
101239,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",126,"n.a. (23)","","","Comarca","Comarca"
101240,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",127,"n.a. (24)","","","Comarca","Comarca"
101241,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",128,"n.a. (25)","","","Comarca","Comarca"
101242,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",129,"n.a. (26)","","","Comarca","Comarca"
101243,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",130,"n.a. (27)","","","Comarca","Comarca"
101244,213,"ESP","Spain",5,"Castilla y León",18,"Ávila",131,"n.a. (28)","","","Comarca","Comarca"
101245,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",132,"n.a. (202)","","","Comarca","Comarca"
101246,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",133,"n.a. (60)","","","Comarca","Comarca"
101247,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",134,"n.a. (61)","","","Comarca","Comarca"
101248,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",135,"n.a. (62)","","","Comarca","Comarca"
101249,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",136,"n.a. (63)","","","Comarca","Comarca"
101250,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",137,"n.a. (64)","","","Comarca","Comarca"
101251,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",138,"n.a. (65)","","","Comarca","Comarca"
101252,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",139,"n.a. (66)","","","Comarca","Comarca"
101253,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",140,"n.a. (67)","","","Comarca","Comarca"
101254,213,"ESP","Spain",5,"Castilla y León",19,"Burgos",141,"n.a. (68)","","","Comarca","Comarca"
101255,213,"ESP","Spain",5,"Castilla y León",20,"León",142,"n.a. (148)","","","Comarca","Comarca"
101256,213,"ESP","Spain",5,"Castilla y León",20,"León",143,"n.a. (149)","","","Comarca","Comarca"
101257,213,"ESP","Spain",5,"Castilla y León",20,"León",144,"n.a. (150)","","","Comarca","Comarca"
101258,213,"ESP","Spain",5,"Castilla y León",20,"León",145,"n.a. (151)","","","Comarca","Comarca"
101259,213,"ESP","Spain",5,"Castilla y León",20,"León",146,"n.a. (152)","","","Comarca","Comarca"
101260,213,"ESP","Spain",5,"Castilla y León",20,"León",147,"n.a. (153)","","","Comarca","Comarca"
101261,213,"ESP","Spain",5,"Castilla y León",20,"León",148,"n.a. (154)","","","Comarca","Comarca"
101262,213,"ESP","Spain",5,"Castilla y León",20,"León",149,"n.a. (155)","","","Comarca","Comarca"
101263,213,"ESP","Spain",5,"Castilla y León",20,"León",150,"n.a. (156)","","","Comarca","Comarca"
101264,213,"ESP","Spain",5,"Castilla y León",20,"León",151,"n.a. (157)","","","Comarca","Comarca"
101265,213,"ESP","Spain",5,"Castilla y León",20,"León",152,"n.a. (158)","","","Comarca","Comarca"
101266,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",153,"n.a. (200)","","","Comarca","Comarca"
101267,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",154,"n.a. (201)","","","Comarca","Comarca"
101268,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",155,"n.a. (202)","","","Comarca","Comarca"
101269,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",156,"n.a. (203)","","","Comarca","Comarca"
101270,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",157,"n.a. (204)","","","Comarca","Comarca"
101271,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",158,"n.a. (205)","","","Comarca","Comarca"
101272,213,"ESP","Spain",5,"Castilla y León",21,"Palencia",159,"n.a. (206)","","","Comarca","Comarca"
101273,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",160,"n.a. (212)","","","Comarca","Comarca"
101274,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",161,"n.a. (213)","","","Comarca","Comarca"
101275,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",162,"n.a. (214)","","","Comarca","Comarca"
101276,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",163,"n.a. (215)","","","Comarca","Comarca"
101277,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",164,"n.a. (216)","","","Comarca","Comarca"
101278,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",165,"n.a. (217)","","","Comarca","Comarca"
101279,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",166,"n.a. (218)","","","Comarca","Comarca"
101280,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",167,"n.a. (219)","","","Comarca","Comarca"
101281,213,"ESP","Spain",5,"Castilla y León",22,"Salamanca",168,"n.a. (220)","","","Comarca","Comarca"
101282,213,"ESP","Spain",5,"Castilla y León",23,"Segovia",169,"n.a. (223)","","","Comarca","Comarca"
101283,213,"ESP","Spain",5,"Castilla y León",23,"Segovia",170,"n.a. (224)","","","Comarca","Comarca"
101284,213,"ESP","Spain",5,"Castilla y León",23,"Segovia",171,"n.a. (225)","","","Comarca","Comarca"
101285,213,"ESP","Spain",5,"Castilla y León",24,"Soria",172,"n.a. (233)","","","Comarca","Comarca"
101286,213,"ESP","Spain",5,"Castilla y León",24,"Soria",173,"n.a. (234)","","","Comarca","Comarca"
101287,213,"ESP","Spain",5,"Castilla y León",24,"Soria",174,"n.a. (235)","","","Comarca","Comarca"
101288,213,"ESP","Spain",5,"Castilla y León",24,"Soria",175,"n.a. (236)","","","Comarca","Comarca"
101289,213,"ESP","Spain",5,"Castilla y León",24,"Soria",176,"n.a. (237)","","","Comarca","Comarca"
101290,213,"ESP","Spain",5,"Castilla y León",24,"Soria",177,"n.a. (238)","","","Comarca","Comarca"
101291,213,"ESP","Spain",5,"Castilla y León",24,"Soria",178,"n.a. (239)","","","Comarca","Comarca"
101292,213,"ESP","Spain",5,"Castilla y León",24,"Soria",179,"n.a. (65)","","","Comarca","Comarca"
101293,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid",180,"n.a. (263)","","","Comarca","Comarca"
101294,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid",181,"n.a. (264)","","","Comarca","Comarca"
101295,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid",182,"n.a. (265)","","","Comarca","Comarca"
101296,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid",183,"n.a. (266)","","","Comarca","Comarca"
101297,213,"ESP","Spain",5,"Castilla y León",25,"Valladolid",184,"n.a. (267)","","","Comarca","Comarca"
101298,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",185,"n.a. (268)","","","Comarca","Comarca"
101299,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",186,"n.a. (269)","","","Comarca","Comarca"
101300,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",187,"n.a. (270)","","","Comarca","Comarca"
101301,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",188,"n.a. (271)","","","Comarca","Comarca"
101302,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",189,"n.a. (272)","","","Comarca","Comarca"
101303,213,"ESP","Spain",5,"Castilla y León",26,"Zamora",190,"n.a. (273)","","","Comarca","Comarca"
101304,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",191,"n.a. (162)","","","Comarca","Comarca"
101305,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",192,"n.a. (164)","","","Comarca","Comarca"
101306,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",193,"n.a. (29)","","","Comarca","Comarca"
101307,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",194,"n.a. (30)","","","Comarca","Comarca"
101308,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",195,"n.a. (31)","","","Comarca","Comarca"
101309,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",196,"n.a. (32)","","","Comarca","Comarca"
101310,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",197,"n.a. (33)","","","Comarca","Comarca"
101311,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",198,"n.a. (34)","","","Comarca","Comarca"
101312,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",199,"n.a. (35)","","","Comarca","Comarca"
101313,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",200,"n.a. (36)","","","Comarca","Comarca"
101314,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",201,"n.a. (37)","","","Comarca","Comarca"
101315,213,"ESP","Spain",6,"Cataluña",27,"Barcelona",202,"n.a. (38)","","","Comarca","Comarca"
101316,213,"ESP","Spain",6,"Cataluña",28,"Girona",203,"n.a. (101)","","","Comarca","Comarca"
101317,213,"ESP","Spain",6,"Cataluña",28,"Girona",204,"n.a. (102)","","","Comarca","Comarca"
101318,213,"ESP","Spain",6,"Cataluña",28,"Girona",205,"n.a. (103)","","","Comarca","Comarca"
101319,213,"ESP","Spain",6,"Cataluña",28,"Girona",206,"n.a. (104)","","","Comarca","Comarca"
101320,213,"ESP","Spain",6,"Cataluña",28,"Girona",207,"n.a. (105)","","","Comarca","Comarca"
101321,213,"ESP","Spain",6,"Cataluña",28,"Girona",208,"n.a. (106)","","","Comarca","Comarca"
101322,213,"ESP","Spain",6,"Cataluña",28,"Girona",209,"n.a. (107)","","","Comarca","Comarca"
101323,213,"ESP","Spain",6,"Cataluña",28,"Girona",210,"n.a. (34)","","","Comarca","Comarca"
101324,213,"ESP","Spain",6,"Cataluña",29,"Lleida",211,"n.a. (159)","","","Comarca","Comarca"
101325,213,"ESP","Spain",6,"Cataluña",29,"Lleida",212,"n.a. (160)","","","Comarca","Comarca"
