"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
24698,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",1,"Albánchez","","Municipality","Municipality"
24699,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",2,"Albox","","Municipality","Municipality"
24700,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",3,"Alcóntar","","Municipality","Municipality"
24701,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",4,"Arboleas","","Municipality","Municipality"
24702,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",5,"Armuña de Almanzora","","Municipality","Municipality"
24703,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",6,"Bacares","","Municipality","Municipality"
24704,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",7,"Bayarque","","Municipality","Municipality"
24705,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",8,"Cantoria","","Municipality","Municipality"
24706,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",9,"Chercos","","Municipality","Municipality"
24707,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",10,"Fines","","Municipality","Municipality"
24708,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",11,"Laroya","","Municipality","Municipality"
24709,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",12,"Líjar","","Municipality","Municipality"
24710,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",13,"Lúcar","","Municipality","Municipality"
24711,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",14,"Macael","","Municipality","Municipality"
24712,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",15,"Olula del Río","","Municipality","Municipality"
24713,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",16,"Oria","","Municipality","Municipality"
24714,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",17,"Partaloa","","Municipality","Municipality"
24715,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",18,"Purchena","","Municipality","Municipality"
24716,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",19,"Serón","","Municipality","Municipality"
24717,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",20,"Sierro","","Municipality","Municipality"
24718,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",21,"Somontín","","Municipality","Municipality"
24719,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",22,"Suflí","","Municipality","Municipality"
24720,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",23,"Taberno","","Municipality","Municipality"
24721,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",24,"Tíjola","","Municipality","Municipality"
24722,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",25,"Urrácal","","Municipality","Municipality"
24723,213,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",26,"Zurgena","","Municipality","Municipality"
24724,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",27,"Alcudia de Monteagud","","Municipality","Municipality"
24725,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",28,"Benitagla","","Municipality","Municipality"
24726,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",29,"Benizalón","","Municipality","Municipality"
24727,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",30,"Castro de Filabres","","Municipality","Municipality"
24728,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",31,"Cóbdar","","Municipality","Municipality"
24729,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",32,"Lubrín","","Municipality","Municipality"
24730,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",33,"Lucainena de las Torres","","Municipality","Municipality"
24731,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",34,"Olula de Castro","","Municipality","Municipality"
24732,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",35,"Senés","","Municipality","Municipality"
24733,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",36,"Sorbas","","Municipality","Municipality"
24734,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",37,"Tabernas","","Municipality","Municipality"
24735,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",38,"Tahal","","Municipality","Municipality"
24736,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",39,"Turrillas","","Municipality","Municipality"
24737,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",40,"Uleila del Campo","","Municipality","Municipality"
24738,213,"ESP","Spain",1,"Andalucía",1,"Almería",2,"n.a. (16)",41,"Velefique","","Municipality","Municipality"
